kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
16.4;0000-2400;;NOR;JXN Marine Norway;;NEu;no;1;;
18.2;0000-2400;;IND;VTX Indian Navy;;SAs;v;1;;
18.3;0000-2400;;F;HWU French Navy;;WEu;wu;1;;
19.6;0000-2400;;G;GQD Anthorn;;WEu;an;1;;
19.8;0000-2400;;AUS;NWC US/Australian Navy;;Oc;ex;1;;
20.5;0741-0747;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
20.5;0441-0447;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
20.5;1041-1047;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
20.5;1131-1141;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
20.5;0941-0947;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
20.5;0541-0547;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
20.9;0000-2400;;F;HWU French Navy;;WEu;wu;1;;
21.4;0000-2400;;HWA;NPM US Navy;;Oc;L;1;;
21.7;0000-2400;;F;HWU French Navy;;WEu;wu;1;;
23;0735-0741;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
23;0435-0441;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
23;1035-1041;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
23;1126-1131;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
23;0935-0941;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
23;0535-0541;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
23.4;0000-2400;;D;DHO38 German Navy;;Eu;rf;1;;
23.4;0000-2400;;HWA;NPM US Navy;;Oc;L;1;;
24;0000-2400;;USA;NAA US Navy Cutler;;NAO;cu;1;;
24.8;0000-2400;;USA;NLK US Navy Jim Creek;;NAO;jc;1;;
25;0700-0725;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
25;0400-0425;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25;1000-1025;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25;1100-1120;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
25;0900-0925;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
25;0500-0525;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
25.1;0725-0730;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
25.1;0425-0430;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25.1;1025-1030;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25.1;1120-1123;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
25.1;0925-0930;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
25.1;0525-0530;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
25.2;0000-2400;;USA;NML US Navy;;NAm;lm;1;;
25.5;0730-0735;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
25.5;0430-0435;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25.5;1030-1035;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25.5;1123-1126;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
25.5;0930-0935;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
25.5;0530-0535;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
37.5;0000-2400;;ISL;TFK Grindavik;;NEu;g;1;;[1218]
40;0000-2400;;J;JJY (ID x15,x45);-TS;FE;o;1;;
42.5;0000-2400;;S;Swedish Navy MSK 200/79;;NEu;vb;1;;[0517]
45.9;0000-2400;;I;NSY Sicily;;SEu;sy;1;;
60;0000-2400;;G;MSF Time from NPL;-TS;Eu;an;1;;[1218]
60;0000-2400;;J;JJY (ID x15,x45);-TS;FE;h;1;;
60;0000-2400;;USA;WWVB Colorado;-TS;USA;ff;1;;
66.66;0000-2400;;RUS;RBU Time Signal;-TS;EEu;t;1;;
68.5;0000-2100;;CHN;BPC Time Signal;-TS;FE;sq;1;;
77.5;0000-2400;;D;DCF77 Mainflingen;-TS;Eu;mf;1;;[1218]
100;0000-2400;;CHN;BPL Time Signal;-TS;FE;p;1;;
129.1;0000-2400;;D;EFR Teleswitch;;CEu;mf;1;;
135.6;0000-2400;;HNG;EFR Teleswitch;;CEu;lh;1;;
139;0000-2400;;D;EFR Teleswitch;;CEu;bu;1;;
145;0000-2400;irr;E;Spanish Navy FSK;;Eu;gm;1;;
147.3;0000-2400;;D;DWD 2 Pinneberg RTTY;E;Eu;pi;1;;[1218]
162;1000-0600;;F;ALS162 Time Signals;-TS;F;a;2;;[0420]
162;0600-1000;We-Mo;F;ALS162 Time Signals;-TS;F;a;2;;
171;0000-2400;;MRC;Medi 1;A,F;NAf;n;1;;[0120]
225;0430-0440;;POL;Polskie Radio;BY;EEu;;2;2208;
225;0705-0707;Mo-Fr;POL;Polskie Radio;E;EEu;;1;0107;3108
225;0707-0709;Mo-Fr;POL;Polskie Radio;D;EEu;;1;0107;3108
225;0805-0807;Mo-Fr;POL;Polskie Radio;E;EEu;;1;0107;3108
225;0807-0809;Mo-Fr;POL;Polskie Radio;D;EEu;;1;0107;3108
225;0905-0907;Mo-Fr;POL;Polskie Radio;E;EEu;;1;0107;3108
225;0907-0909;Mo-Fr;POL;Polskie Radio;D;EEu;;1;0107;3108
225;1020-1025;;POL;Polskie Radio;BY;EEu;;2;2208;
225;2020-2025;;POL;Polskie Radio;BY;EEu;;2;2208;
243;0342-0405;;DNK;Danmarks Radio;DA;NEu;k;2;;
243;0557-0705;;DNK;Danmarks Radio;DA;NEu;k;2;;
243;0942-1015;;DNK;Danmarks Radio;DA;NEu;k;2;;[0219]
243;1542-1620;;DNK;Danmarks Radio;DA;NEu;k;2;;[0219]
426;1700-2300;Sa;USA;KPH Point Reyes, CA;-CW;WNA;pr;2;;
445;0000-2400;;CHN;XSQ Guangzhou Radio x30;M;FE;gx;1;;
462;0000-2400;;CHN;XSZ Dalian Radio (x05);M;FE;da;1;;
486;0000-2000;25Dec;USA;WA1ZMS Fessenden Px;E;ENA;fv;1;0112;3112
486;0000-2000;1Jan;USA;WA1ZMS Fessenden Px;E;ENA;fv;1;0112;3112
486;2000-2400;24Dec;USA;WA1ZMS Fessenden Px;E;ENA;fv;1;0112;3112
486;2000-2400;31Dec;USA;WA1ZMS Fessenden Px;E;ENA;fv;1;0112;3112
549;0000-0100;;CHN;China National Radio 5;M;TWN;pt;1;;
549;0100-0600;;CHN;China National Radio 5;M;TWN;pt;1;;
549;0600-0900;Th-Tu;CHN;China National Radio 5;M;TWN;pt;1;;
549;0900-1000;;CHN;China National Radio 5;M;TWN;pt;1;;
549;1000-1705;;CHN;China National Radio 5;M;TWN;pt;1;;
549;2055-2300;;CHN;China National Radio 5;M;TWN;pt;1;;
549;2300-2400;;CHN;China National Radio 5;M;TWN;pt;1;;
549;0100-0300;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
549;0300-0600;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
549;0600-1200;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
549;1200-1500;;VTN;Voice of Vietnam 2;VN;VTN;;1;;[0420]
549;1500-1700;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
549;2145-0100;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
567;1431-1501;;LAO;Lao National Radio;E;SEA;v;1;;
567;1501-1530;;LAO;Lao National Radio;F;SEA;v;1;;
567;1530-1600;;LAO;Lao National Radio;T;SEA;v;1;;
567;1600-1630;;LAO;Lao National Radio;VN;SEA;v;1;;
567;2100-2200;;LAO;Lao National Radio;M;SEA;v;1;;
567;2200-2230;;LAO;Lao National Radio;HM;SEA;v;1;;
567;2230-2300;;LAO;Lao National Radio;KHM;SEA;v;1;;
567;2300-0630;;LAO;Lao National Radio;LAO;SEA;v;1;;
576;0000-2400;;BUL;BNR Horizont;BU;BUL;vi;1;;[0220]
576;0500-0600;Mo-Fr;BUL;Bulgarian National R.;TU;BUL;sl;2;;
576;1200-1300;;BUL;Bulgarian National R.;TU;BUL;sl;2;;
576;1730-1830;;BUL;Bulgarian National R.;TU;BUL;sl;2;;
576;0330-1630;;IRN;IRIB Voice of I.R.Iran;A;ME;mh;1;;
576;0230-0330;SaSu;MYA;Myanma Radio;BR;SEA;y;1;;
576;0330-0700;;MYA;Myanma Radio;BR;SEA;y;1;;
576;0700-0730;;MYA;Myanma Radio;E;SEA;y;1;;
576;0930-1530;;MYA;Myanma Radio;BR;SEA;y;1;;
576;1445-1505;We,Sa;MYA;Myanma Radio (NHK);BR;SEA;y;1;;
576;1530-1630;;MYA;Myanma Radio;E;SEA;y;1;;
576;1540-1600;Th-Fr;MYA;Myanma Radio (NHK);E;SEA;y;1;;
576;2300-0230;;MYA;Myanma Radio;BR;SEA;y;1;;
594;2000-2100;;I;IRRS Milano;E;CEu;;2;;
594;0230-0245;;IND;AIR Delhi;HI;BGD;ko;1;;
594;0130-0430;;IND;All India Radio GOS;BE;BGD;ko;1;0805;
594;1130-1430;;IND;All India Radio GOS;BE;BGD;ko;1;0805;
594;0230-0330;SaSu;MYA;Myanma Radio;BR;SEA;n;1;;
594;0930-1530;;MYA;Myanma Radio;BR;SEA;n;1;;
594;1445-1505;We,Sa;MYA;Myanma Radio (NHK);BR;SEA;n;1;;
594;1530-1630;;MYA;Myanma Radio;E;SEA;n;1;;
594;1540-1600;Th-Fr;MYA;Myanma Radio (NHK);E;SEA;n;1;;
594;2300-0230;;MYA;Myanma Radio;BR;SEA;n;1;;
600;0000-0200;;USA;Voice of America;S;VEN;/CLM-b;1;1609;[0920]
600;0200-0300;Tu-Sa;USA;Voice of America;S;VEN;/CLM-b;1;1609;
603;0000-0100;;CHN;China Radio Int.;VN;SEA;d;1;;
603;0400-0600;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1100-1200;;CHN;China Radio Int.;CA;SEA;d;1;;
603;1200-1300;;CHN;China Radio Int.;VN;SEA;d;1;;[0420]
603;1300-1400;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1400-1500;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1500-1600;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1600-1700;;CHN;China Radio Int.;VN;SEA;d;1;;
603;2300-2400;;CHN;China Radio Int.;VN;SEA;d;1;;
603;0130-0230;;IND;All India Radio DIGITAL;NE;NPL;ko;1;;
603;0700-0800;;IND;All India Radio DIGITAL;NE;NPL;ko;1;;
603;1000-1100;;IND;All India Radio DIGITAL;E;SEA;ko;1;;
603;1115-1215;;IND;All India Radio DIGITAL;TAM;SEA;ko;1;;
603;1215-1315;;IND;All India Radio DIGITAL;BR;SEA;ko;1;;
603;1330-1430;;IND;All India Radio DIGITAL;NE;NPL;ko;1;;
603;0720-0730;Su;ROU;Radio Bukarest;D;ROU;;2;;
603;1100-1200;Mo-Sa;ROU;Radio Bukarest;D;ROU;;2;;
610;2300-2330;Mo,Sa;EQA;HCJB Voice of Andes;D;SAm;/PRG-f;1;;
612;0420-0520;;IRN;IRIB Voice of I.R.Iran;KU;ME;q;1;;
612;0523-1630;;IRN;IRIB Voice of I.R.Iran;A;ME;q;1;;
612;1500-1545;;USA;Trans World Radio;KZ;CAs;/KGZ;1;;
612;1545-1600;;USA;Trans World Radio;R;CAs;/KGZ;1;;
612;1600-1630;Mo-Sa;USA;Trans World Radio;R;CAs;/KGZ;1;;
612;1600-1700;Su;USA;Trans World Radio;UZ;CAs;/KGZ;1;;
612;1630-1700;Mo-Sa;USA;Trans World Radio;UZ;CAs;/KGZ;1;;
612;1700-1715;Fr-Su;USA;Trans World Radio;KZ;CAs;/KGZ;1;;
612;1700-1730;Mo-Th;USA;Trans World Radio;UI;CAs;/KGZ;1;;
612;1715-1730;Fr-Su;USA;Trans World Radio;KG;CAs;/KGZ;1;;
621;0300-0700;;KRE;PBS Pyongyang Pansong;K;FE;c;1;;
621;1300-1800;;KRE;PBS Pyongyang Pansong;K;FE;c;1;;
621;1800-1900;;KRE;PBS Pyongyang Pansong;K;FE;c;1;;
621;1900-2000;;KRE;PBS Pyongyang Pansong;K;FE;c;1;;
621;0700-0900;;KRE;Voice of Korea;J;J;c;1;;
621;0900-1300;;KRE;Voice of Korea;J;J;c;1;;
621;2000-2100;;KRE;Voice of Korea KCBS;K;FE;c;1;;
621;2100-2400;;KRE;Voice of Korea;J;J;c;1;;
621;0200-0230;;MDA;Radio Odin Plus (PMR);UK;EEu;;2;;
621;0230-0300;;MDA;Radio Odin Plus (PMR);RO;EEu;;2;;
621;0300-0515;;MDA;Radio Odin Plus (PMR);R;EEu;;2;;[0318]
621;0400-1300;;USA;Radio Mashaal;PS;PAK;/AFG-x;1;;
621;0100-0200;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;0200-0300;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;0300-0400;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;1300-1500;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;1500-1600;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;1600-1700;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;1700-1900;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
630;1000-1100;;ROU;Radio Temeswar;D;ROU;;2;;[0719]
630;1500-1600;Su;ROU;Radio Timisoara;UK;ROU;;2;;[0216]
639;1705-1710;Mo-Fr;CZE;Radio Prague;E;CEu;os;2;;
639;1705-1710;Mo-Fr;CZE;Radio Prague;E;CEu;pl;2;;
639;1805-1810;Mo-Fr;CZE;Radio Prague;E;CEu;os;2;;
639;1805-1810;Mo-Fr;CZE;Radio Prague;E;CEu;pl;2;;
639;0200-0300;;G;BBC;A;ME;/CYP;1;;
639;0300-0400;;G;BBC;A;ME;/CYP;1;;
639;0400-0500;;G;BBC;A;ME;/CYP;1;;
639;0500-0600;;G;BBC;A;ME;/CYP;1;;
639;1800-1900;;G;BBC;A;ME;/CYP;1;;
639;1900-2000;;G;BBC;A;ME;/CYP;1;;
639;2000-2100;;G;BBC;A;ME;/CYP;1;;
639;0420-0520;;IRN;IRIB Voice of I.R.Iran;KU;ME;bb;1;;
639;1320-1620;;IRN;IRIB Voice of I.R.Iran;KU;ME;bb;1;;
639;1820-1920;;IRN;IRIB Voice of I.R.Iran;TU;ME;bb;1;;
639;0130-0200;;MYA;Thazin Radio;E;SEA;p;1;;
639;0430-0630;;MYA;Thazin Radio;BR;SEA;p;1;;
639;0630-0700;;MYA;Thazin Radio;E;SEA;p;1;;
639;0930-1430;;MYA;Thazin Radio;BR;SEA;p;1;;
639;1430-1500;;MYA;Thazin Radio;E;SEA;p;1;;
639;2330-0130;;MYA;Thazin Radio;BR;SEA;p;1;;
657;0300-0700;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
657;0700-1300;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
657;1300-1800;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
657;1800-1900;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
657;1900-2000;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
657;2000-2030;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
657;2100-0300;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;;
675;2145-1700;;VTN;Voice of Vietnam 1;VN;VTN;;1;;[0420]
684;0100-0500;;CHN;China National Radio 6;AM;TWN;pt;1;;
684;0500-0600;;CHN;China National Radio 6;HK;TWN;pt;1;;
684;0600-0900;Th-Tu;CHN;China National Radio 6;HK;TWN;pt;1;;
684;0900-1100;;CHN;China National Radio 6;HK;TWN;pt;1;;
684;1100-1605;;CHN;China National Radio 6;M;TWN;pt;1;;
684;2155-0100;;CHN;China National Radio 6;AM;TWN;pt;1;;
684;0000-0100;;CHN;China Radio Int.;KH;SEA;d;1;;
684;1030-1130;;CHN;China Radio Int.;KH;SEA;d;1;;
684;1200-1300;;CHN;China Radio Int.;E;SEA;d;1;;
684;1300-1400;;CHN;China Radio Int.;VN;SEA;d;1;;
684;1400-1500;;CHN;China Radio Int.;KH;SEA;d;1;;
684;1500-1600;;CHN;China Radio Int.;VN;SEA;d;1;;
684;1600-1700;;CHN;China Radio Int.;VN;SEA;d;1;;
684;2300-2400;;CHN;China Radio Int.;KH;SEA;d;1;;
690;0000-2400;;B;Rádio Clube do Pará;P;B;be;1;;
693;1930-2000;;ALG;Radio Algiers Int.;S;NAf;r;1;;
693;2000-2030;;ALG;Radio Algiers Int.;A;NAf;r;1;;
693;2030-2100;;ALG;Radio Algiers Int.;F;NAf;r;1;;
693;2100-2130;;ALG;Radio Algiers Int.;A;NAf;r;1;;
693;2130-2200;;ALG;Radio Algiers Int.;E;NAf;r;1;;
693;2200-2230;;ALG;Radio Algiers Int.;S;NAf;r;1;;
693;2230-2300;;ALG;Radio Algiers Int.;A;NAf;r;1;;
693;0030-0610;;BGD;Bangladesh Betar;BE;SAs;d;1;;
693;0830-1155;;BGD;Bangladesh Betar;BE;SAs;d;1;;
693;1155-1705;;BGD;Bangladesh Betar;BE;SAs;d;1;;[0119]
693;1235-1245;Mo;BGD;Bangladesh Betar;E;SAs;d;1;;
693;1250-1255;;BGD;Bangladesh Betar;E;SAs;d;1;;
693;1530-1545;;BGD;Bangladesh Betar;E;SAs;d;1;;
693;1600-1605;;BGD;Bangladesh Betar;E;SAs;d;1;;
702;1500-1700;;G;BBC;A;ME;/OMA-a;1;;
702;1700-1800;;G;BBC;A;ME;/OMA-a;1;;
702;1800-1900;;G;BBC;A;ME;/OMA-a;1;;
702;1900-2000;;G;BBC;A;ME;/OMA-a;1;;
702;2000-2100;;G;BBC;A;ME;/OMA-a;1;;
702;0323-0920;;IRN;IRIB Voice of I.R.Iran;AZ;Cau;ki;1;;
702;0920-1020;;IRN;IRIB Voice of I.R.Iran;TAL;Cau;ki;1;;
702;1020-1650;;IRN;IRIB Voice of I.R.Iran;AZ;Cau;ki;1;;
702;1720-1820;;IRN;IRIB Voice of I.R.Iran;TAL;Cau;ki;1;;
702;1820-1920;;IRN;IRIB Voice of I.R.Iran;TU;ME;ki;1;;
702;1920-2020;;IRN;IRIB Voice of I.R.Iran;R;Cau;ki;1;;[1116]
702;0000-0030;Su;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0000-0200;Mo-Sa;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0030-0230;Su;PHL;FEBC Manila;E;PHL;b;1;;
702;0200-0330;Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;0200-0430;Mo-Fr;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0230-0430;Su;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0330-0430;Sa;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0430-0530;;PHL;FEBC Manila;AM;PHL;b;1;;
702;0530-0600;Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;0530-0600;Su-Fr;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0600-0700;Mo-Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;0600-0700;Su;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0700-0705;SaSu;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0700-0720;Mo-Fr;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0705-0830;Su;PHL;FEBC Manila;E;PHL;b;1;;
702;0705-0930;Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;0720-0900;Mo-Fr;PHL;FEBC Manila;E;PHL;b;1;;
702;0830-1200;Su;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0900-1030;Mo-Fr;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0930-1030;Sa;PHL;FEBC Manila;TAG;PHL;b;1;;
702;1030-1100;Mo-Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;1100-1130;Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;1100-1130;Mo-Fr;PHL;FEBC Manila;TAG;PHL;b;1;;
702;1130-1200;Mo-Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;1200-1300;Mo-Sa;PHL;FEBC Manila;TAG;PHL;b;1;;
702;1200-1330;Su;PHL;FEBC Manila;E;PHL;b;1;;
702;1300-1400;Mo;PHL;FEBC Manila;E;PHL;b;1;;
702;1300-1530;Sa;PHL;FEBC Manila;TAG;PHL;b;1;;
702;1300-1600;Tu-Fr;PHL;FEBC Manila;E;PHL;b;1;;
702;1330-1530;Su;PHL;FEBC Manila;TAG;PHL;b;1;;
702;1400-1600;Mo;PHL;FEBC Manila;TAG;PHL;b;1;;
702;1530-1600;SaSu;PHL;FEBC Manila;E;PHL;b;1;;
702;2045-2100;Su-Fr;PHL;FEBC Manila;TAG;PHL;b;1;;
702;2100-2400;;PHL;FEBC Manila;TAG;PHL;b;1;;
720;0200-0300;;G;BBC;A;ME;/CYP;1;;
720;0300-0400;;G;BBC;A;ME;/CYP;1;;
720;0400-0500;;G;BBC;A;ME;/CYP;1;;
720;0500-0600;;G;BBC;A;ME;/CYP;1;;
720;1700-1800;;G;BBC;A;ME;/CYP;1;;
720;1800-1900;;G;BBC;A;ME;/CYP;1;;
720;1900-2000;;G;BBC;A;ME;/CYP;1;;
720;2000-2100;;G;BBC;A;ME;/CYP;1;;
720;0050-0220;;IRN;IRIB Voice of I.R.Iran;TJ;CAs;t;1;;
720;0300-1500;;IRN;IRIB Voice of I.R.Iran;DR;AFG;t;1;;
720;1550-1720;;IRN;IRIB Voice of I.R.Iran;TJ;CAs;t;1;;
729;0100-0300;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
729;0300-0600;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
729;0600-1200;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
729;1200-1500;;VTN;Voice of Vietnam 2;VN;VTN;;1;;[0420]
729;1500-1700;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
729;2145-0100;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
738;1500-1600;;TWN;Radio Taiwan Int.;E;FE;pe;1;;
738;1600-1500;;TWN;Taiwan Area Fisheries;M;FE;pe;1;;
765;0000-0100;;CHN;China National Radio 5;M;TWN;f;1;;
765;0100-0600;;CHN;China National Radio 5;M;TWN;f;1;;
765;0600-0900;Th-Tu;CHN;China National Radio 5;M;TWN;f;1;;
765;0900-1000;;CHN;China National Radio 5;M;TWN;f;1;;
765;1000-1705;;CHN;China National Radio 5;M;TWN;f;1;;
765;2055-2300;;CHN;China National Radio 5;M;TWN;f;1;;
765;2300-2400;;CHN;China National Radio 5;M;TWN;f;1;;
765;0130-0230;;IRN;IRIB Voice of I.R.Iran;UR;SAs;c;1;;
765;0230-1250;;IRN;IRIB Voice of I.R.Iran;A;SAs;c;1;;
765;1250-1320;;IRN;IRIB Voice of I.R.Iran;PS;SAs;c;1;;
765;1320-1420;;IRN;IRIB Voice of I.R.Iran;UR;SAs;c;1;;
765;1520-1720;;IRN;IRIB Voice of I.R.Iran;UR;SAs;c;1;;
765;1620-0120;;IRN;IRIB Voice of I.R.Iran;A;SAs;c;1;;
783;1930-2000;;ALG;Radio Algiers Int.;S;NAf;;1;;
783;2000-2030;;ALG;Radio Algiers Int.;A;NAf;;1;;
783;2030-2100;;ALG;Radio Algiers Int.;F;NAf;;1;;
783;2100-2130;;ALG;Radio Algiers Int.;A;NAf;;1;;
783;2130-2200;;ALG;Radio Algiers Int.;E;NAf;;1;;
783;2200-2230;;ALG;Radio Algiers Int.;S;NAf;;1;;
783;2230-2300;;ALG;Radio Algiers Int.;A;NAf;;1;;
783;0430-0500;;SYR;Radio Damascus;R;ME;;2;;[0620]
783;0500-0530;;SYR;Radio Damascus;F;ME;;2;;[0520]
800;0000-0300;;USA;Trans World Radio;S;CUB;/BES;1;;[1218]
800;0300-0800;;USA;Trans World Radio;S;Car;/BES;1;;[0319]
800;0800-0945;;USA;Trans World Radio;P;SAm;/BES;1;;
800;0945-1000;Su;USA;Trans World Radio;BNI;SAm;/BES;1;;
800;0945-1000;Sa;USA;Trans World Radio;MX;SAm;/BES;1;;
800;0945-1000;Mo-Fr;USA;Trans World Radio;P;SAm;/BES;1;;
800;1000-1230;;USA;Trans World Radio;S;Car;/BES;1;;
800;2130-2300;;USA;Trans World Radio;S;Car;/BES;1;;
800;2300-2400;;USA;Trans World Radio;E;Car;/BES;1;;
801;0258-0600;;ETH;Amhara State Radio;AH;EAf;b;1;;
801;0900-1100;;ETH;Amhara State Radio;AH;EAf;b;1;;
801;1400-2100;;ETH;Amhara State Radio;AH;EAf;b;1;;
801;1100-0400;;G;Iran International;FS;IRN;/TJK;1;;
801;0300-0700;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;;
801;0700-1300;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;;
801;1300-1800;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;;
801;2030-2100;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;;
801;2100-0300;;KRE;PBS Pyongyang Pansong;K;FE;hw;1;;
810;0702-0705;Mo-Fr;MKD;Macedonian Radio;E;SEE;;6;2903;2406
810;1202-1207;Mo-Fr;MKD;Macedonian Radio;E;SEE;;6;2903;2406
810;1504-1510;Mo-Fr;MKD;Macedonian Radio;E;SEE;;6;2903;2406
810;1730-1800;Mo-Fr;MKD;Macedonian Radio;F;SEE;;6;2903;2406
810;1730-2000;SaSu;MKD;Macedonian Radio;MC;SEE;;6;2903;2406
810;1800-1830;Mo-Fr;MKD;Macedonian Radio;BU;SEE;;6;2903;2406
810;1830-1900;Mo-Fr;MKD;Macedonian Radio;GR;SEE;;6;2903;2406
810;1900-1930;Mo-Fr;MKD;Macedonian Radio;AL;SEE;;6;2903;2406
810;1930-2000;Mo-Fr;MKD;Macedonian Radio;SR;SEE;;6;2903;2406
810;2000-1730;;MKD;Macedonian Radio;MC;SEE;;6;2903;2406[1117]
810;1730-1800;Mo-Sa;MKD;Radio Makedonija MR Sat;MC;SEE;;2;2007;
810;1800-1830;Mo-Fr;MKD;Radio Makedonija MR Sat;BU;SEE;;2;2007;
810;1800-2000;Sa;MKD;Radio Makedonija MR Sat;MC;SEE;;2;2007;
810;1830-1900;Mo-Fr;MKD;Radio Makedonija MR Sat;GR;SEE;;2;2007;
810;1900-1930;Mo-Fr;MKD;Radio Makedonija MR Sat;AL;SEE;;2;2007;
810;1930-2000;Mo-Fr;MKD;Radio Makedonija MR Sat;SR;SEE;;2;2007;
810;2000-0300;Mo-Sa;MKD;Radio Makedonija MR Sat;MC;SEE;;2;2007;
819;2200-1600;;VTN;Voice of Vietnam 4;Vn;VTN;b;1;;
837;0253-0600;;ETH;Radio Oromiya;OO;EAf;r;1;;
837;0600-0900;SaSu;ETH;Radio Oromiya;OO;EAf;r;1;;
837;0900-1100;;ETH;Radio Oromiya;OO;EAf;r;1;;
837;1100-1530;SaSu;ETH;Radio Oromiya;OO;EAf;r;1;;
837;1530-2000;;ETH;Radio Oromiya;OO;EAf;r;1;;[0218]
840;0247-1000;;ERI;Voice of Broad Masses 2;Vn;EAf;;1;;
840;1430-2000;;ERI;Voice of Broad Masses 2;Vn;EAf;;1;;
855;0300-0700;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
855;0700-1300;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
855;1300-1800;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
855;1800-1900;;KRE;PBS Pyongyang Pansong;K;FE;sw;1;;
